Date, Open, High, Low, Close
03/18/25, 5654.53, 5654.53, 5597.76, 5614.66
03/17/25, 5635.60, 5703.52, 5631.12, 5675.12
03/14/25, 5563.85, 5645.27, 5563.85, 5638.94
03/13/25, 5594.45, 5597.78, 5504.65, 5521.52
03/12/25, 5624.84, 5642.19, 5546.09, 5599.30
03/11/25, 5603.65, 5636.30, 5528.41, 5572.07
03/10/25, 5705.37, 5705.37, 5564.02, 5614.56
03/07/25, 5726.01, 5783.01, 5666.29, 5770.20
03/06/25, 5785.87, 5812.08, 5711.64, 5738.52
03/05/25, 5781.36, 5860.59, 5742.35, 5842.63
03/04/25, 5811.98, 5865.08, 5732.59, 5778.15
03/03/25, 5968.33, 5986.09, 5810.91, 5849.72
02/28/25, 5856.74, 5959.40, 5837.66, 5954.50
02/27/25, 5981.88, 5993.69, 5858.78, 5861.57
02/26/25, 5970.87, 6009.82, 5932.69, 5956.06
02/25/25, 5982.73, 5992.65, 5908.49, 5955.25
02/24/25, 6026.69, 6043.65, 5977.83, 5983.25
02/21/25, 6114.10, 6114.82, 6008.56, 6013.13
02/20/25, 6134.50, 6134.50, 6084.59, 6117.52
02/19/25, 6117.76, 6147.43, 6111.15, 6144.15
02/18/25, 6121.60, 6129.63, 6099.51, 6129.58
02/14/25, 6115.52, 6127.47, 6107.62, 6114.63
02/13/25, 6060.59, 6116.91, 6050.95, 6115.07
02/12/25, 6025.08, 6063.00, 6003.00, 6051.97
02/11/25, 6049.32, 6076.28, 6042.34, 6068.50
02/10/25, 6046.40, 6073.38, 6044.84, 6066.44
02/07/25, 6083.13, 6101.28, 6019.96, 6025.99
02/06/25, 6072.22, 6084.03, 6046.83, 6083.57
02/05/25, 6020.45, 6062.86, 6007.06, 6061.48
02/04/25, 5998.14, 6042.48, 5990.87, 6037.88
02/03/25, 5969.65, 6022.13, 5923.93, 5994.57
01/31/25, 6096.79, 6120.91, 6030.93, 6040.53
01/30/25, 6050.75, 6086.64, 6027.46, 6071.17
01/29/25, 6057.70, 6062.83, 6012.96, 6039.31
01/28/25, 6026.97, 6074.54, 5994.63, 6067.70
01/27/25, 5969.04, 6017.17, 5962.92, 6012.28
01/24/25, 6121.43, 6128.18, 6088.74, 6101.24
01/23/25, 6076.32, 6118.73, 6074.67, 6118.71
01/22/25, 6081.39, 6100.81, 6076.13, 6086.37
01/21/25, 6014.12, 6051.51, 6006.88, 6049.24
01/17/25, 5995.40, 6014.96, 5978.44, 5996.66
01/16/25, 5963.61, 5964.69, 5930.72, 5937.34
01/15/25, 5905.21, 5960.61, 5905.21, 5949.91
01/14/25, 5859.27, 5871.92, 5805.42, 5842.91
01/13/25, 5782.02, 5838.61, 5773.31, 5836.22
01/10/25, 5890.35, 5890.35, 5807.78, 5827.04
